,sentences,labels
0,"Two plants were producing cold-smoked salmon, the third plant was producing semi-preserved herring and the fourth plant was producing caviar.",plant.n.01
1,Some researchers watered the plant with luciferin.,plant.n.02
2,The special ingredient in the lotion comes from a plant.,plant.n.02
3,The commandos were dropped into a French nuclear plant.,plant.n.01
4,Two universities entered in collaboration focusing on development of plant biotechnology.,plant.n.02
5,It was drizzling lightly in late October when the midnight shift started at the Owls Head Water pollution control plant.,plant.n.01
6,The wastewater treatment plant processes the influent using a ultra-violet light system to kill the bacteria prior to outflow.,plant.n.01
7,The president of the bank has told us that most of the State banks exist by its forbearance.,depository_financial_institution.n.01
8,"James was seriously injured; the shot was fired from his own gun, which he had left on the bank.",bank.n.09
9,Sometimes their way led them under the shade of an overhanging bank or through the thin obscurity of a clump of leafless trees.,bank.n.01
10,The Israeli army erected a giant earth mound across a crucial agricultural road in the northern West Bank.,bank.n.09
11,The media then creates a self fulfilling prophesy with constant reports of doom and gloom and individuals also pull their money out of the targeted bank.,bank.n.09
12,"One of them jumps from the boat to the bank and turns into a pile of ashes, as if he had been on the earth for hundreds of years.",bank.n.01
13,"We minimized excessive flows that cause flooding, bank erosion, and habitat loss.",bank.n.01
14,The bark of this tree trunk presented an interesting pattern.,bark.n.01
15,Cinnamon oil is distilled from bark chips and used to alleviate stomach upsets.,bark.n.01
16,"The original santur was made with tree bark, stones and stringed with goat intestines.",bark.n.01
17,"The stem of this tree is carved all around with names and dates, many of them grown into mere scars on the bark.",bark.n.01
18,Falconers send their dogs into the field to bark and cause the nearby covey of quail (or partridges) to take flight.,bark.n.04
19,"In Western Australia, the helve of the hatchet is pointed and the natives, after making the notch, stick the tool in the bark and lift themselves up with it.",bark.n.01
20,Your dog doesn't need to bark at me!,bark.n.04
