,sentiment,text
0,1,@tonigirl14 love you toooooo!! TG  LOL Gngb
1,0,@jun6lee I told myself: Don't click on this link. But I just did. Booohooo 
2,0,The man who rendered his voice to Mickey Mouse expired. He was 62 years old!  i'm a Mickey fan!
3,1,@Shontelle_Layne I think red would be nice.  Or maybe you could do a mix of red and black. 
4,0,@Silverlines - I guess. 'Cause one of her tweets says she is confused. 
5,0,"Have to go home in awhile. Goodbye, internet.  I will miss you."
6,1,@lomolibertine *faints* I want!! Everything looks good when its put through a fisheye  haha
7,1,@mlvalentine Merci! (Now I need to go find it before it falls off the stream... !) Say hi to Sophie for me 
8,1,@twistednurse76 Morning 
9,1,@gillianrundell7 i freaking love you! Does Jason still have his lovely curly hair? 
10,1,@blwbyrd well....OK...you can carry on then.  Dinnertime over now anyway 
11,0,Splitting headache FTL 
12,1,The White Stripes &quot;We're Going To Be Friends&quot; ? http://twt.fm/138385 
13,1,"Yes, dear friends, the MS crazies are still losing time watching my Twitter account. It amuses me to no end! "
14,1,@JusTrent not bad 
15,1,@BeckyKingston Lol but to be honest it's kinds annoying as it looks huge in my room 
16,0,having the worst day ever!! 
17,1,@rebeccabakic she is! 
18,0,@BElanna_Torres ooc Your picture is failing 
19,1,@radha_ sounds interesting... 
20,0,@eileen53 Ouch.  Hope you're okay.
21,0,dude! its fathers day today!! lol I can't go out after church.  mom says its fam time. next sunday instead?
22,1,Iï¿½m really really really TIRED T_T all hurt me... hahahaha but was a amazing day.. All beach! 
23,1,"@lejjewellery yeah, he was, made me tingle all over. i love the welsh "
24,0,"why all this, just go down, wheni must need to feel special.. i miss you "
25,0,Aww man I really DO miss him 
26,1,Old people are like slinkies...they're pretty much useless... but you can't help ut laugh when one falls down thr stairs  JK lol  
27,1,catching the bus to the city all this week  i'm going to love the change in scenery. Have a great day all x
28,1,@DAVIDCESAR3 thanks for the rt's! 
29,1,@leeroyholmes hey sweets! It is hella hot here! 
30,1,@zoetunstall A queen referance and it shows I ain't the only one caught in the rain. Wonderful 
31,1,@MissDiggs oh no she eats lls....but they think its going to catch up with me one day 
32,0,"If you ever want to try out Corel Painter 11 and find a torrent through isohunt, BEWARE. There's two trojans in one of the torrents. "
33,0,@shell_here  hope they sort things out for you soon 
34,1,@joeymcintyre That's so sweet!  What a cute picture ... little Joey Joe     Good memories... Joey Joe is what I used to fall asleep to! 
35,1,@Karen230683 About to go out job hunting! 
